time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,tf,tf,tr,tr,Range,Range,Border,Border,Border,avg,Volume,Volume MA,TSF,,,,FAST,Plot,SLOW,Buy,Sell,Tail,Tail+,Tail-,%K,Support Line,OTT,Buy,Sell,Plot,0,1,2,3,3,,,,,,,Buy,Sell,StopBuy,StopSell,HOTT,LOTT,Buy,Sell
1639600200,295.03,295.07,294,294.52,285.9294919706512,NaN,NaN,NaN,NaN,NaN,294.655,NaN,NaN,NaN,NaN,290.71960689678093,296.71006873521156,295.21245327560393,292.21722235638856,293.71483781599625,283.2837833680513,29896,16060.4,-0.9493736378158281,0.902116327102391,-0.902116327102391,1.3733521495198353,16.183319923596457,16.183319923596457,22.11151196829792,NaN,NaN,-0.3571451976890053,0.5881647777035259,-0.8468755354091466,1053.189855250041,NaN,1050.2387139538012,NaN,NaN,1.0528379935294343,-0.7571096388089686,-0.12420547224596065,1.5656352319303355,1.8900366982801404,2.050714432954778,0,1,-1,2,-2,-0.6453641264331087,NaN,NaN,NaN,NaN,0.0029243100866245186,0.0029403991013612616,NaN,NaN
1639665000,296.88,297.8,295.21,297.75,286.060253588699,NaN,NaN,NaN,NaN,NaN,296.91,NaN,NaN,298.15647041777953,290.71960689678093,290.71960689678093,298.15647041777953,296.29725453752985,292.5788227770306,294.43803865728023,283.2837833680513,24824,16760.15,0.20013594018641365,0.9120523085361643,-0.9120523085361643,2.658254033926344,17.6660680425027,17.6660680425027,22.11151196829792,NaN,NaN,-1.1850430745008647,0.6123948110069565,-0.8900825990334643,1053.2581737240178,NaN,1050.3523053426782,NaN,NaN,1.3948104779349795,2.004631752912832,1.660731082209801,3.392097764668607,2.4150377652986013,2.1217139608679316,0,1,-1,2,-2,0.6395788205824775,-1.8,NaN,NaN,0,0.0029262892266035357,0.002942495497143174,NaN,NaN
1639668600,297.82,299.5,297.78,298.4,286.2848804149398,NaN,NaN,NaN,NaN,NaN,298.375,NaN,NaN,299.8555460723824,292.3890785523513,292.3890785523513,299.8555460723824,297.98892919237466,294.25569543235906,296.12231231236683,283.2837833680513,27080,17157.8,0.34557321588155004,0.9142295062978487,-0.9142295062978487,2.058964361447435,19.12522291152689,19.12522291152689,22.11151196829792,NaN,NaN,0.7728212042663705,0.6466815512242159,-0.9059688343872401,1053.274335596675,NaN,1050.4799122733762,NaN,NaN,1.8790002606504679,1.741462076047389,1.8772636267684377,3.5936710213031353,2.45190146013957,2.2220107176641295,0,1,-1,2,-2,0.6395553950871606,NaN,NaN,0,NaN,0.002927780150846031,0.0029457991183042586,NaN,NaN
1639672200,298.46,299.94,298.12,299.94,286.5322940202375,NaN,NaN,NaN,NaN,NaN,299.115,NaN,NaN,300.2967537763278,292.804924473444,292.804924473444,300.2967537763278,298.42379645060686,294.67788179916494,296.5508391248859,283.2837833680513,10002,17003.15,0.7643274686684095,0.9043119802280901,-0.9043119802280901,2.2883061078334377,21.11622157754647,21.11622157754647,22.11151196829792,NaN,NaN,-0.246925039600756,0.6468565846267569,-0.9040924823995256,1053.3613054983018,NaN,1050.5678791328162,NaN,NaN,1.5514355026264084,1.9140793591692327,2.5114595833978055,4.274280358911353,2.6272530260175144,2.348395483951525,0,1,-1,2,-2,0.6395319726162586,NaN,NaN,NaN,NaN,0.0029294409576426216,0.0029512507122954694,NaN,NaN
1639675800,299.82,299.89,299.02,299.68,286.81515633140555,NaN,NaN,NaN,NaN,NaN,299.6025,NaN,NaN,300.2967537763278,293.2485066915234,293.2485066915234,300.2967537763278,298.5346920051267,295.0105684627245,296.7726302339256,283.2837833680513,11756,16786,0.43721239163044096,0.8873669719703903,-0.8873669719703903,2.168280376380749,21.95592821630656,21.95592821630656,22.11151196829792,NaN,NaN,-0.4301870631333479,0.6468858913420088,-0.9090670222236878,1053.4443270353568,NaN,1050.607948929931,NaN,NaN,1.414004522541684,1.5061079217414108,2.2774593748846366,3.902334665120962,2.497223410340848,2.417198657120705,0,1,-1,2,-2,-1.2862830531914862,NaN,NaN,NaN,NaN,0.0029315664821982375,0.0029557973379326073,NaN,NaN
1639679400,299.82,301.55,299.8,300.97,287.0672999022847,NaN,NaN,NaN,NaN,NaN,300.535,NaN,NaN,301.88806399893474,294.7887200213058,294.7887200213058,301.88806399893474,300.1132280045275,296.563556015713,298.3383920101203,283.2837833680513,16787,17026.5,0.6531104982776763,0.88993159852622,-0.88993159852622,1.9822445107075204,23.344206024597455,23.344206024597455,17.290302695378628,NaN,NaN,0.4065539554495513,0.6534824138890811,-0.911694226873196,1053.4640448243165,NaN,1050.6791397888019,NaN,NaN,1.4070701193806023,2.025676569862672,3.043842201301561,4.438876332957129,2.618970740490356,2.484842471255413,0,1,-1,2,-2,0.6238213970449269,NaN,NaN,NaN,NaN,0.0029346348819164285,0.0029615782756021677,NaN,NaN
1639683000,300.56,301.08,299.11,300.78,287.30665170609535,NaN,NaN,NaN,NaN,NaN,300.3825,NaN,NaN,NaN,NaN,294.7887200213058,301.88806399893474,300.1132280045275,296.563556015713,298.3383920101203,283.2837833680513,27107,17092.7,0.3428387779076031,0.9151184098532943,-0.9151184098532943,1.6148648648648622,23.895904843574087,23.895904843574087,17.848109563038804,NaN,NaN,-0.8306335690884853,0.6587873549499897,-0.935346811482085,1053.4900501734421,NaN,1050.7580787053873,NaN,NaN,1.5797480057623257,1.8640798442426634,2.6748391172216914,4.3533597101979975,2.5043679359931343,2.50663479097352,0,1,-1,2,-2,-0.6855615237268152,NaN,NaN,NaN,NaN,0.0029381209160006016,0.0029659864408747177,NaN,NaN
1639686600,300.75,301.33,300.135,300.135,287.56850977914786,NaN,NaN,NaN,NaN,NaN,300.5875,NaN,NaN,NaN,NaN,294.7887200213058,301.88806399893474,300.1132280045275,296.563556015713,298.3383920101203,283.2837833680513,32608,17518.85,-0.03509531821786598,0.9087011239990224,-0.9087011239990224,1.5513449500930365,22.986018637310508,22.986018637310508,17.848109563038804,NaN,NaN,0.4196119194259217,0.6756528959204084,-0.9349356803224869,1053.6282724817422,NaN,1050.797503842926,NaN,NaN,1.5188516266330052,0.14633246658617874,1.9833654066865916,3.814985265031533,2.3304089238793178,2.468026404129496,0,1,-1,2,-2,-0.685535335525214,NaN,NaN,NaN,NaN,0.0029422568356877797,0.0029715251777129134,NaN,NaN
1639751400,297.72,297.72,292.39,293.82,287.56850977914786,NaN,NaN,NaN,NaN,NaN,295.4125,301.88806399893474,291.88520459542303,NaN,NaN,291.88520459542303,301.88806399893474,299.38734914805684,294.38591944630093,296.8866342971789,283.2837833680513,35155,18590.65,-2.242497026038026,1.2315939212480442,-1.2315939212480442,-0.4674796747967447,14.072577936437938,14.072577936437938,20.251591634393293,NaN,NaN,-0.9808111970721763,0.6852205490675476,-0.9527006497622958,1053.7431258114188,NaN,1050.8279388958963,NaN,NaN,1.6674097402720596,-1.8717913769362662,-1.6840448461857254,-0.8639303260626712,1.3103758596535737,2.1689616712995097,0,1,-1,2,-2,-0.6855091500413634,NaN,1.8,0,NaN,0.002946466963353207,0.0029708890874077364,NaN,NaN
1639755000,293.59,296.2,293.55,295.84,287.56850977914786,NaN,NaN,NaN,NaN,NaN,294.79499999999996,NaN,NaN,NaN,NaN,291.88520459542303,301.88806399893474,299.38734914805684,294.38591944630093,296.8866342971789,283.2837833680513,17160,18730.1,-1.2326563264569945,1.3274383862940131,-1.3274383862940131,0.2201971611504483,10.059038725533476,10.059038725533476,16.42060171516127,NaN,NaN,0.2173665579200439,0.693412820323406,-0.9441822286269042,1053.825792425629,NaN,1050.93000059672,NaN,NaN,1.478434608623896,-0.9585007482135943,-0.6650857260819557,0.12391768330927116,1.6004301024327972,1.952062595875335,0,1,-1,2,-2,1.3470143670706407,-1.8,NaN,NaN,0,0.002951064149459884,0.002970645967383978,NaN,NaN
1639758600,295.8,295.88,292.76,292.91,287.56850977914786,NaN,NaN,NaN,NaN,NaN,294.33750000000003,NaN,NaN,NaN,NaN,291.88520459542303,301.88806399893474,299.38734914805684,294.38591944630093,296.8866342971789,283.2837833680513,14244,18695.1,-2.0865664896254548,1.5475022193421677,-1.5475022193421677,-0.7051086477507629,4.88680999845559,4.88680999845559,11.485101703343162,NaN,NaN,-0.04692366335770701,0.6927311104899714,-0.944422335074234,1053.9396784612586,NaN,1051.040397670785,NaN,NaN,1.3829579454787233,-1.5426191840433026,-1.5714223135869854,-1.0855258664459617,1.1243922210608686,1.6909202333156748,0,1,-1,2,-2,-0.5702295961298309,NaN,NaN,0,NaN,0.002954043448784509,0.0029676508920963326,NaN,NaN
1639762200,293.17,293.9,292.66,293.5,287.6900251801241,NaN,NaN,NaN,NaN,NaN,293.3075,NaN,NaN,NaN,NaN,291.88520459542303,301.88806399893474,299.38734914805684,294.38591944630093,296.8866342971789,283.2837833680513,14234,18518.2,-1.5234444714853912,1.7103988519847706,-1.7103988519847706,-0.7238533351373255,1.9982206417349246,1.9982206417349246,8.829394620546388,NaN,NaN,-0.07388564336578195,0.6936628822895605,-0.9436184317026894,1054.0484059474766,NaN,1051.1321693050347,NaN,NaN,1.3224159096489077,-1.1368697681942308,-1.1776006462287043,-0.7954518377036349,1.199359257467881,1.5027443987138112,0,1,-1,2,-2,0.7455531670142347,NaN,NaN,NaN,NaN,0.002956105595732236,0.0029652567403630928,NaN,NaN
1639765800,293.42,295.6,293.42,294.66,287.80957418359793,NaN,NaN,NaN,NaN,NaN,294.27500000000003,NaN,NaN,NaN,NaN,291.88520459542303,301.88806399893474,299.38734914805684,294.38591944630093,296.8866342971789,283.2837833680513,13440,18717.35,-0.8743087270882117,1.7453597522390885,-1.7453597522390885,-0.5132014315618827,1.1522159551871667,1.1522159551871667,8.167622618521811,NaN,NaN,0.62791583305551,0.7181293311700772,-0.9396277969262721,1054.1869476926533,NaN,1051.238493114428,NaN,NaN,1.254209179938616,-0.24459853079163416,-0.7745715446077304,-0.4212541688916728,1.3604328921995865,1.4201225634347892,0,1,-1,2,-2,0.7455230314400576,NaN,NaN,NaN,NaN,0.0029566710981657213,0.002963741340990227,NaN,NaN
